Year,EPS,Dividen,ROE,Net Margin,Free Cash flow,Interest Coverage
2021,5.61,0.865,1.5007132667617689,0.2588179335569424,92953000000.0,42.288090737240076
2022,6.11,0.91,1.9695887275023682,0.2530964070519973,111443000000.0,40.74957352439441
2023,6.13,0.95,1.5607601454639075,0.2530623426432028,99584000000.0,29.062039155860667
2024,6.08,0.99,1.6459350307287095,0.23971255769943867,108807000000.0,
