quarter_end,price_q,eps_q,revenue_q,net_income_q,ebit_q,interest_exp_q,equity_q,op_cf_q,capex_q,dividend_q,eps_q_diff,eps_q_pct,revenue_q_pct,net_income_q_pct,net_margin_q,roe_q,ic_q,fcf_q,next_q_price,next_q_return,target_up
2024-09-30,,2.130000,23319000000.000000,2930000000.000000,3913000000.000000,219000000.000000,19453000000.000000,4905000000.000000,-1149000000.000000,1.355000,,,,,0.125649,0.602478,17.867580,3756000000.000000,147.647110,,0.000000
2024-12-31,147.647110,1.110000,27784000000.000000,1523000000.000000,2073000000.000000,264000000.000000,18041000000.000000,6287000000.000000,-2468000000.000000,1.355000,-1.020000,-0.478873,0.191475,-0.480205,0.054816,0.337675,7.852273,3819000000.000000,146.875854,-0.005224,0.000000
2025-03-31,146.875854,1.330000,17919000000.000000,1834000000.000000,2606000000.000000,264000000.000000,18389000000.000000,-973000000.000000,-603000000.000000,1.355000,0.220000,0.198198,-0.355060,0.204202,0.102349,0.398934,9.871212,-1576000000.000000,130.760849,-0.109719,0.000000
2025-06-30,130.760849,0.920000,22726000000.000000,1263000000.000000,1831000000.000000,260000000.000000,18418000000.000000,1969000000.000000,-904000000.000000,1.423000,-0.410000,-0.308271,0.268263,-0.311341,0.055575,0.274297,7.042308,1065000000.000000,140.440002,0.074022,1.000000
2025-09-30,140.440002,1.900000,23937000000.000000,2603000000.000000,3595000000.000000,264000000.000000,19388000000.000000,4472000000.000000,-992000000.000000,1.423000,0.980000,1.065217,0.053287,1.060966,0.108744,0.537033,13.617424,3480000000.000000,144.389999,0.028126,1.000000
2025-12-31,144.389999,,,,,,,,,0.000000,,,,,,,,,,,0.000000
