quarter_end,price_q,eps_q,revenue_q,net_income_q,ebit_q,interest_exp_q,equity_q,op_cf_q,capex_q,dividend_q,eps_q_diff,eps_q_pct,revenue_q_pct,net_income_q_pct,net_margin_q,roe_q,ic_q,fcf_q,next_q_price,next_q_return,target_up
2024-09-30,,0.660000,11854000000.000000,2848000000.000000,3805000000.000000,425000000.000000,26518000000.000000,-1259000000.000000,-469000000.000000,0.485000,,,,,0.240256,0.429595,8.952941,-1728000000.000000,60.900532,,0.000000
2024-12-31,60.900532,0.510000,11544000000.000000,2195000000.000000,3237000000.000000,431000000.000000,24856000000.000000,3951000000.000000,-803000000.000000,0.485000,-0.150000,-0.227273,-0.026152,-0.229284,0.190142,0.353235,7.510441,3148000000.000000,70.573143,0.158826,1.000000
2025-03-31,70.573143,0.770000,11129000000.000000,3330000000.000000,4444000000.000000,387000000.000000,26202000000.000000,-5202000000.000000,-309000000.000000,0.510000,0.260000,0.509804,-0.035949,0.517084,0.299218,0.508358,11.483204,-5511000000.000000,70.211533,-0.005124,0.000000
2025-06-30,70.211533,0.880000,12535000000.000000,3810000000.000000,5241000000.000000,445000000.000000,28585000000.000000,3811000000.000000,-442000000.000000,0.510000,0.110000,0.142857,0.126337,0.144144,0.303949,0.533147,11.777528,3369000000.000000,66.320000,-0.055426,0.000000
2025-09-30,66.320000,0.860000,12455000000.000000,3696000000.000000,4574000000.000000,391000000.000000,31247000000.000000,5043000000.000000,-479000000.000000,0.510000,-0.020000,-0.022727,-0.006382,-0.029921,0.296748,0.473133,11.698210,4564000000.000000,71.285004,0.074864,1.000000
2025-12-31,71.285004,,,,,,,,,0.000000,,,,,,,,,,,0.000000
