quarter_end,price_q,eps_q,revenue_q,net_income_q,ebit_q,interest_exp_q,equity_q,op_cf_q,capex_q,dividend_q,eps_q_diff,eps_q_pct,revenue_q_pct,net_income_q_pct,net_margin_q,roe_q,ic_q,fcf_q,next_q_price,next_q_return,target_up
2024-09-30,,2.480000,48926000000.000000,4487000000.000000,6653000000.000000,164000000.000000,156202000000.000000,9674000000.000000,-4055000000.000000,1.630000,,,,,0.091710,0.114902,40.567073,5619000000.000000,139.969101,,0.000000
2024-12-31,139.969101,1.840000,48334000000.000000,3239000000.000000,6258000000.000000,199000000.000000,152318000000.000000,8695000000.000000,-4338000000.000000,1.630000,-0.640000,-0.258065,-0.012100,-0.278137,0.067013,0.085059,31.447236,4357000000.000000,163.457260,0.167810,1.000000
2025-03-31,163.457260,2.000000,46101000000.000000,3500000000.000000,5795000000.000000,212000000.000000,149244000000.000000,5189000000.000000,-3927000000.000000,1.710000,0.160000,0.086957,-0.046199,0.080580,0.075920,0.093806,27.334906,1262000000.000000,141.613556,-0.133636,0.000000
2025-06-30,141.613556,1.450000,44375000000.000000,2490000000.000000,4421000000.000000,274000000.000000,146417000000.000000,8576000000.000000,-3712000000.000000,1.710000,-0.550000,-0.275000,-0.037440,-0.288571,0.056113,0.068025,16.135036,4864000000.000000,155.289993,0.096576,1.000000
2025-09-30,155.289993,1.820000,48169000000.000000,3539000000.000000,5784000000.000000,370000000.000000,189843000000.000000,9385000000.000000,-4444000000.000000,1.710000,0.370000,0.255172,0.085499,0.421285,0.073470,0.074567,15.632432,4941000000.000000,155.889999,0.003864,1.000000
2025-12-31,155.889999,,,,,,,,,0.000000,,,,,,,,,,,0.000000
