quarter_end,price_q,eps_q,revenue_q,net_income_q,ebit_q,interest_exp_q,equity_q,op_cf_q,capex_q,dividend_q,eps_q_diff,eps_q_pct,revenue_q_pct,net_income_q_pct,net_margin_q,roe_q,ic_q,fcf_q,next_q_price,next_q_return,target_up
2024-09-30,,5.220000,8503000000.000000,2830000000.000000,3877000000.000000,776000000.000000,7527000000.000000,3571000000.000000,-257000000.000000,2.250000,,,,,0.332824,1.503919,4.996134,3314000000.000000,254.223938,,0.000000
2024-12-31,254.223938,1.160000,9086000000.000000,627000000.000000,1529000000.000000,747000000.000000,5877000000.000000,4771000000.000000,-371000000.000000,2.250000,-4.060000,-0.777778,0.068564,-0.778445,0.069007,0.426748,2.046854,4400000000.000000,306.335724,0.204984,1.000000
2025-03-31,306.335724,3.200000,8149000000.000000,1730000000.000000,2696000000.000000,723000000.000000,6207000000.000000,1391000000.000000,-411000000.000000,2.380000,2.040000,1.758621,-0.103126,1.759171,0.212296,1.114870,3.728907,980000000.000000,276.963165,-0.095884,0.000000
2025-06-30,276.963165,2.650000,9179000000.000000,1432000000.000000,2262000000.000000,694000000.000000,7428000000.000000,2280000000.000000,-369000000.000000,2.380000,-0.550000,-0.171875,0.126396,-0.172254,0.156008,0.771136,3.259366,1911000000.000000,282.200012,0.018908,1.000000
2025-09-30,282.200012,5.930000,9557000000.000000,3216000000.000000,4606000000.000000,685000000.000000,9619000000.000000,4684000000.000000,-436000000.000000,2.380000,3.280000,1.237736,0.041181,1.245810,0.336507,1.337353,6.724088,4248000000.000000,342.220001,0.212686,1.000000
2025-12-31,342.220001,,,,,,,,,0.000000,,,,,,,,,,,0.000000
