quarter_end,price_q,eps_q,revenue_q,net_income_q,ebit_q,interest_exp_q,equity_q,op_cf_q,capex_q,dividend_q,eps_q_diff,eps_q_pct,revenue_q_pct,net_income_q_pct,net_margin_q,roe_q,ic_q,fcf_q,next_q_price,next_q_return,target_up
2024-09-30,,0.780000,33330000000.000000,3306000000.000000,5974000000.000000,1672000000.000000,96326000000.000000,9911000000.000000,-4103000000.000000,0.665000,,,,,0.099190,0.137284,3.572967,5808000000.000000,37.414082,,0.000000
2024-12-31,37.414082,1.180000,35681000000.000000,5005000000.000000,8212000000.000000,1644000000.000000,99237000000.000000,10432000000.000000,-5203000000.000000,0.678000,0.400000,0.512821,0.070537,0.513914,0.140271,0.201739,4.995134,5229000000.000000,43.190178,0.154383,1.000000
2025-03-31,43.190178,1.150000,33485000000.000000,4879000000.000000,8105000000.000000,1632000000.000000,100722000000.000000,7782000000.000000,-4267000000.000000,0.678000,-0.030000,-0.025424,-0.061545,-0.025175,0.145707,0.193761,4.966299,3515000000.000000,41.861897,-0.030754,0.000000
2025-06-30,41.861897,1.180000,34504000000.000000,5003000000.000000,8248000000.000000,1639000000.000000,103063000000.000000,8975000000.000000,-3920000000.000000,0.678000,0.030000,0.026087,0.030432,0.025415,0.144998,0.194172,5.032337,5055000000.000000,43.207275,0.032139,1.000000
2025-09-30,43.207275,1.170000,33821000000.000000,4950000000.000000,8191000000.000000,1664000000.000000,105042000000.000000,11266000000.000000,-4416000000.000000,0.678000,-0.010000,-0.008475,-0.019795,-0.010594,0.146359,0.188496,4.922476,6850000000.000000,41.310001,-0.043911,0.000000
2025-12-31,41.310001,,,,,,,,,0.690000,,,,,,,,,,,0.000000
